x,z,y,a,h,g
41.0898,0.0000,0.0000,0.0000,1.0279,1.0357
39.4844,0.9869,0.0000,0.2332,1.0279,1.0357
36.4767,1.9244,0.0000,0.6996,1.0279,1.0357
31.5106,2.6381,0.0000,1.2174,1.0279,1.0357
28.5230,2.6165,0.0000,1.4550,1.0279,1.0357
25.2043,2.6375,0.0000,1.5557,1.0279,1.0357
22.1774,2.4691,0.0000,1.7105,1.0279,1.0357
18.9680,2.4145,0.0000,1.6630,1.0279,1.0357
16.2722,2.2034,0.0000,1.7714,1.0279,1.0357
13.7607,1.9890,0.0000,2.0400,1.0279,1.0357
11.2867,1.8110,0.0000,1.8838,1.0279,1.0357
9.0740,1.8127,0.0000,1.7703,1.0279,1.0357
7.1265,2.2155,0.0000,1.4823,1.0279,1.0357
3.1881,2.6530,0.0000,1.1851,1.0279,1.0357
0.0000,3.8150,0.0000,0.5946,1.0279,1.0357